5752,Removal of posterior segmental instrumentation,M,
5753,Removal of anterior instrumentation,M,
5755,"Laminectomy for spinal stenosis (exclude diskectomy, foraminotomy and spondylolisthesis): One or two levels",M,
5756,Laminectomy with full decompression for spondylolisthesis (Gill procedure),M,
5757,Laminectomy for decompression without foraminotomy or diskectory more than two levels,M,
5758,Laminectomy with decompression of nerve roots and disc removal: Each additional level,M,
5759,"Laminectomy for decompression diskectomy, etc. revision operation, Nek dekompressie & Fusie",M,
5760,"Laminectomy, facetectomy, decompression for lateral recess stenosis plus spinal stenosis: One level",M,
5761,"Laminectomy, facetectomy, decompression for lateral recess stenosis plus spinal stenosis: Each additional level",M,
5763,Anterior disc removal and spinal decompression cervical: One level,M,
5764,Anterior disc removal and spinal decompression cervical: Each additional level,M,
5765,Vertebral corpectomy for spinal decompression: One level,M,
5766,Vertebral corpectomy for spinal decompression: Each additional level,M,
5770,Use of microscope in spinal or intracranial procedures (modifier 0005 not applicable),T,
5780,Intrastitial implants: Placing of guide tubes for interstitial implants under local or general anaesthetic. The cost of materials is not included,,
5781,Intracavitary applications:  Placing of guide tubes under local or general anaesthetic for manual or remote afterloading brachytherapy. The cost of materials is not included,,
5782,"Isotope Therapy: Administration of low dose surface applicators, up to five applications. Typically an out patient procedure. The cost of materials is not included",,
5783,Infusional pharmacotherapy: Fee for the treatment of non cancerous conditions with bolus or infusional pharmacotherapy per treatment day (consultations to be charged separately),,
5930,Surgical laser apparatus: Hire fee for own equipment,,
5932,Candella laser apparatus: Hire fee for own equipment (Rates by arrangement with the scheme concerned),,
5999,Actigraphy: Patient monitored for a minimum of 72 hours:  Taking of record - Owner of equipment and taking of record (Technical component) (refer to item 6000 for interpretation and report),,
6000,Clinical interpretation and report of item 5999: Actigraphy: Patient monitored for a minimum of 72 hours (Professional component),,
6001,Sleep electro-encephalography: Infants that fit into a perambulator: Taking of record,,
6002,Sleep electro-encephalography: Infants that fit into a perambulator: Interpretation,,
6003,Sleep electro-encephalography: Adults and children over infant age: Taking of record,,
6004,Sleep electro-encephalography: Adults and children over infant age: Interpretation,,
6005,Botulinus toxin injections: For blepharospasm (+ 0198 + item 0201 + item 0202),,
6006,Botulinus toxin injections: For hemifacial spasm or for hyperhidrosis per region (+ item 0198 + item 0201 + item 0202),,
6007,Botulinus toxin injections: For adductor disphonia (+ item 0198 + 0201 + item 0202),,
6008,Botulinus toxin injections: In extra-ocular muscles (+ item 0198 + item 0201 + item 0202),,
6009,Botulinus toxin injections: For spasmodic torticollis and/or cranial dystonia or for spasticity or for focal dystonia (+ item 0198 + item 0201 + item 0202),,
6010,"24 hour Electro-encephalogram computerised sixteen or more channel EEG (16-24 hours), (excluding video recording): Equipment cost. Owner of equipment and taking of record (Technical component)",,
6011,"Clinical interpretation and report of item 6010: 24 hour Electro-encephalogram for computerised sixteen or more channel EEG (16-24 hours), (excluding video recording):  To be charged once only for each full 24 hour period of monitoring (Professional component)",,
6014,Sleep testing: Multiple sleep latency test (Technical component),,
6015,"Clinical interpretation and report of item 6016: Sleep study: Includes simultaneous recording of ventilation, respiratory effort, ECG/heart rate and oxygen saturation (Professional component)",,
6016,"Sleep study: Includes simultaneous recording of ventilation, respiratory effort, ECG/heart rate and oxygen saturation (no EEG) (Technical component)",,
6018,"Combined Video and EEG monitoring (16-24 hours): scalp, subdural or depth. To include 1. Equipment cost; 2. Technologist's set up cost and electrodes; 3. Technologist's technical report; Neurologist's review of EEG and clinical interpretation: Each full 24 hour period",,
6020,Clinical interpretation and report of item 6030: Electro-encephalogram (EEG): Monitoring (41-60 minutes) (Professional component),,
6021,Clinical interpretation and report of item 6031: Electro-encephalogram (EEG): Monitoring (>60 minutes) (Professional component),,
6023,Clinical interpretation and report of item 6033: Electro-encephalogram (EEG): Overnight recording (8-16 hours) (Professional component),,
6024,"Functional cortical and subcortical mapping: Stimulation and/or recording of electrodes on brain surface or depth electrodes, to provoke seizures or identify vital brain structures: First 60 minutes of attendance",,
6025,"Functional cortical and subcortical mapping: Stimulation and/or recording of electrodes on brain surface or depth electrodes, to provoke seizures or identify vital brain structures: Each additional 60 minutes of attendance (ADD to item 6024 when appropriate)",,
6026,"Electronic analysis: Implanted neurostimulator pulse generator system (eg., rate, pulse amplitude, pulse duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance measurements), simple or complex brain/spinal cord/peripheral (ie., cranial nerve, peripheral nerve, sacral nerve, neuromuscular) neurostimulator pulse generator/transmitter, without reprogramming",,
6027,"Electronic analysis: Implanted neurostimulator pulse generator system (eg., rate, pulse amplitude and duration, battery status, electrode selectability and polarity, impedance and patient compliance measurements), complex, deep brain neurostimulator/pulse generator/transmitter, with initial or subsequent programming: First 60 minutes",,
6028,"Electronic analysis: Implanted neurostimulator pulse generator system (eg., rate, pulse amplitude and duration, battery status, electrode selectability and polarity, impedance and patient compliance measurements), complex, deep brain neurostimulator/pulse generator/transmitter, with initial or subsequent programming: Each additional 30 minutes after first 60 minutes. ADD to primary procedure",,
6030,Electro-encephalogram (EEG): Monitoring (41-60 minutes): Equipment cost. Owner of equipment and taking of record (Technical component) (refer to item 6020 for interpretation and report),,
6031,Electro-encephalogram (EEG): Monitoring (>60 minutes): Equipment cost. Owner of equipment and taking of record (Technical component) (refer to item 6021 for interpretation and report),,
6033,Electro-encephalogram (EEG): Overnight recording (8-16 hours): Taking of record. Equipment cost. Owner of equipment and taking of record (Technical component) (refer to item 6023 for interpretation and report),,
6100,"In order to charge the full fee (600,00 magnetic resonance units) for an examination of a specific single anatomical region, it should be performed with the applicable radio frequency coil including T1 and T2 weighted images on at least two planes",,
6101,"Where a limited series of a specific anatomical region is performed (except bone tumour), e.g a T2 weighted image of a bone for an occult stress fracture, not more than two-thirds (2/3) of the fee may be charged. Also applicable to all radiotherapy planning studies, per region",,
6102,"All post-contrast studies (except bone tumour), including perfusion studies, to be charges at 50% of the fee",,
6103,Post-contrast study: Bone tumour: 100% of the fee,,
6104,"Limited examination of the hypophysis e.g. where a coronal T1 and sagittal T1 series are performed, two-thirds (2/3) of the fee is applicable",,
6105,"Where, in a limited hypophysis examination, Gadolinium is administered and coronal T1 and sagittal T1 series are repeated, a single full fee for the entire examination is applicable + cost of Gadolinium + disposable items",,
6106,"Where a magnetic resonance angiography (MRA) of large vessels is performed as primary examination, 100% of the fee is applicable. This modifier is only applicable if the series is performed by use of a recognised angiographic software package with reconstruction capability",,
6107,"Where a magnetic resonance angiography (MRA) of the vessels is performed additional to an examination of a particular region, 50% of the fee is applicable for the angiography. This modifier is only applicable if the series is performed by use of a recognised angiographic software package with reconstruction capability",,
6108,"Where only a gradient echo series is performed with a machine without a recognised angiographic software package with reconstruction ability, 20% of the full fee is applicable specifying that it is a “flow sensitive series”",,
6109,"Very limited studies to be charged at 33,33% of the full fee e.g. MR urography for renal colic, diffusion studies of the brain additional to routine brain",,
6110,MRI spectroscopy: 50% of fee,,
6200,"Magnetic Resonance Imaging: Per anatomical region: Brain, MRI brain, MRI-CT scan, Auditory brainstem exam",T,
6201,Magnetic Resonance Imaging: Per anatomical region: Orbitae,,
6202,Magnetic Resonance Imaging: Per anatomical region: Paranasal sinuses,,
6203,Magnetic Resonance Imaging: Per anatomical region: Soft tissue: Face/skull,,
6204,Magnetic Resonance Imaging: Per anatomical region: Skull basis/cranio-cervical joint,,
6205,Magnetic Resonance Imaging: Per anatomical region: Middle and internal ears,,
6206,Magnetic Resonance Imaging: Per anatomical region: Soft tissue: Neck,,
6207,Magnetic Resonance Imaging: Per anatomical region: Thyroid/para-thyroid,,
6208,Magnetic Resonance Imaging: Per anatomical region: Hypophysis (see modifiers 6104 and 6105 for limited examinations),,
6209,Magnetic Resonance Imaging: Per anatomical region: Bone tumour (see modifier 6103),,
6210,Magnetic Resonance Imaging: Per anatomical region: Cervical vertebrae,,
6211,Magnetic Resonance Imaging: Per anatomical region: Thoracic vertebrae,,
6212,Magnetic Resonance Imaging: Per anatomical region: Lumbar vertebrae,,
6213,Magnetic Resonance Imaging: Per anatomical region: Sacrum,,
6214,Magnetic Resonance Imaging: Per anatomical region: Pelvis,,
6215,Magnetic Resonance Imaging: Per anatomical region: Pelvic organs,,
6216,Magnetic Resonance Imaging: Per anatomical region: Abdomen,,
6217,Magnetic Resonance Imaging: Per anatomical region: Thorax wall,,
6218,Magnetic Resonance Imaging: Per anatomical region: Mediastinum,,
6219,Magnetic Resonance Imaging: Per anatomical region: Soft tissue: Back,,
6220,Magnetic Resonance Imaging: Per anatomical region: Left shoulder,,
6221,Magnetic Resonance Imaging: Per anatomical region: Right shoulder,,
6222,Magnetic Resonance Imaging: Per anatomical region: Both hips,,
6223,Magnetic Resonance Imaging: Per anatomical region: Left hip,,
6224,Magnetic Resonance Imaging: Per anatomical region: Right hip,,
6225,Magnetic Resonance Imaging: Per anatomical region: Left upper-arm,,
6226,Magnetic Resonance Imaging: Per anatomical region: Right upper-arm,,
6227,Magnetic Resonance Imaging: Per anatomical region: Left elbow,,
6228,Magnetic Resonance Imaging: Per anatomical region: Right elbow,,
6229,Magnetic Resonance Imaging: Per anatomical region: Left fore-arm,,
6230,Magnetic Resonance Imaging: Per anatomical region: Right fore-arm,,
6231,Magnetic Resonance Imaging: Per anatomical region: Left wrist and hand,,
6232,Magnetic Resonance Imaging: Per anatomical region: Right wrist and hand,,
6233,Magnetic Resonance Imaging: Per anatomical region: Left upper-leg,,
6234,Magnetic Resonance Imaging: Per anatomical region: Right upper-leg,,
